# Resistivity Experiment v3.0
# 
# Data Acquisition Unit: Agilent Model 34970A
# Start Time: 1:38:51.915 PM 5/24/2018 ; Start Temp: 298.9860 K
# Time (s)   Temp (K)         R1         R2         R3         R4         R5
  282.2930   298.9620   1128.788   2703.086   5.653453   39389.32   26.89140
  283.8000   298.9610   1128.786   2703.079   5.653389   39390.20   26.89235
  285.2990   298.9610   1128.785   2703.054   5.654087   39391.65   26.89254
  286.8010   298.9630   1128.786   2703.067   5.653073   39391.53   26.89273
  288.3000   298.9620   1128.784   2703.073   5.653706   39391.53   26.89286
  289.8000   298.9620   1128.785   2703.086   5.653706   39391.59   26.89286
  291.2990   298.9620   1128.785   2703.111   5.653327   39391.02   26.89197
  292.7990   298.9610   1128.785   2703.092   5.653707   39391.46   26.89305
  294.2990   298.9610   1128.785   2703.105   5.653833   39391.97   26.89273
  296.2880   298.9610   1128.785   2703.092   5.652249   39391.27   26.89216
  297.7920   298.9620   1128.783   2703.098   5.653580   39391.65   26.89311
  299.2990   298.9600   1128.784   2703.117   5.653706   39390.96   26.89210
  300.8000   298.9600   1128.783   2703.086   5.652946   39391.91   26.89216
  302.3170   298.9610   1128.781   2703.086   5.653579   39391.97   26.89241
  303.7990   298.9610   1128.782   2703.105   5.653833   39392.73   26.89273
  305.2990   298.9600   1128.784   2703.060   5.653769   39391.72   26.89260
  306.7920   298.9610   1128.779   2703.111   5.654213   39392.79   26.89235
  308.2970   298.9620   1128.784   2703.098   5.653516   39393.55   26.89305
  309.7990   298.9610   1128.783   2703.060   5.653580   39392.66   26.89203
  311.2920   298.9600   1128.782   2703.092   5.653959   39392.98   26.89222
  312.7980   298.9610   1128.782   2703.092   5.653453   39393.42   26.89260
  314.3020   298.9590   1128.781   2703.079   5.653896   39393.17   26.89267
  315.7960   298.9610   1128.781   2703.079   5.653453   39394.12   26.89292
  317.2980   298.9590   1128.781   2703.067   5.653453   39394.12   26.89267
  318.7990   298.9610   1128.782   2703.086   5.653833   39393.80   26.89254
  320.3700   298.9600   1128.779   2703.105   5.653643   39393.74   26.89292
  322.1060   298.9600   1128.781   2703.073   5.653453   39393.93   26.89254
  323.3090   298.9590   1128.778   2703.105   5.653580   39394.62   26.89355
  324.8000   298.9600   1128.782   2703.105   5.653453   39394.62   26.89279
  326.2980   298.9590   1128.778   2703.105   5.653453   39395.00   26.89260
  327.7990   298.9610   1128.779   2703.105   5.654213   39395.51   26.89260
  329.2980   298.9580   1128.776   2703.111   5.654340   39396.02   26.89273
  330.7980   298.9610   1128.779   2703.098   5.653580   39396.02   26.89286
  332.4810   298.9580   1128.778   2703.098   5.654086   39396.14   26.89229
  333.7990   298.9580   1128.778   2703.092   5.653200   39395.57   26.89229
  335.2980   298.9590   1128.778   2703.073   5.653327   39396.02   26.89267
  336.7980   298.9610   1128.774   2703.073   5.654086   39395.51   26.89248
  338.2980   298.9590   1128.777   2703.073   5.652756   39396.52   26.89273
  339.8700   298.9590   1128.774   2703.079   5.653453   39396.96   26.89235
  341.3700   298.9590   1128.778   2703.079   5.653453   39396.46   26.89229
  342.8700   298.9580   1128.777   2703.060   5.652757   39396.77   26.89279
  344.2970   298.9590   1128.776   2703.098   5.653453   39396.64   26.89267
  345.7990   298.9590   1128.777   2703.098   5.653707   39397.59   26.89267
  347.2990   298.9580   1128.777   2703.092   5.653137   39396.58   26.89222
  348.7990   298.9580   1128.773   2703.079   5.653896   39397.09   26.89178
  350.3680   298.9590   1128.776   2703.098   5.652503   39397.21   26.89279
  351.7980   298.9580   1128.774   2703.079   5.653389   39397.59   26.89254
  353.7970   298.9560   1128.775   2703.111   5.653580   39397.40   26.89235
  355.2970   298.9580   1128.776   2703.117   5.653516   39396.84   26.89191
  356.8700   298.9580   1128.774   2703.086   5.654023   39397.97   26.89292
  358.4050   298.9580   1128.774   2703.117   5.654023   39398.41   26.89184
  359.8760   298.9580   1128.775   2703.111   5.653263   39398.67   26.89248
  361.2970   298.9570   1128.769   2703.073   5.653580   39400.25   26.89267
  362.7960   298.9560   1128.774   2703.105   5.653516   39399.30   26.89222
  364.2890   298.9560   1128.774   2703.067   5.653770   39400.12   26.89267
  365.7980   298.9570   1128.774   2703.117   5.653010   39399.05   26.89273
  367.2960   298.9590   1128.772   2703.060   5.652757   39399.55   26.89273
  368.7890   298.9560   1128.772   2703.105   5.652567   39399.93   26.89216
  370.2910   298.9570   1128.772   2703.098   5.653579   39400.12   26.89191
  371.7970   298.9560   1128.769   2703.117   5.652820   39399.74   26.89229
  373.2960   298.9570   1128.773   2703.086   5.653453   39400.44   26.89260
  374.7890   298.9560   1128.774   2703.098   5.653390   39400.75   26.89235
  376.2980   298.9550   1128.773   2703.092   5.653769   39400.37   26.89298
  377.7970   298.9570   1128.771   2703.092   5.653389   39400.06   26.89267
  379.2950   298.9570   1128.767   2703.092   5.653453   39400.56   26.89254
  380.7950   298.9570   1128.772   2703.073   5.653770   39400.82   26.89292
  382.2970   298.9560   1128.772   2703.092   5.653263   39400.37   26.89298
  383.7970   298.9560   1128.771   2703.073   5.652946   39400.62   26.89330
  385.2950   298.9580   1128.769   2703.105   5.653453   39400.50   26.89241
  386.7900   298.9560   1128.767   2703.079   5.654783   39400.94   26.89298
  388.2960   298.9560   1128.769   2703.067   5.653769   39401.89   26.89279
  389.7960   298.9570   1128.770   2703.086   5.652883   39402.46   26.89273
  391.2950   298.9550   1128.768   2703.067   5.653453   39402.84   26.89273
  392.7960   298.9550   1128.767   2703.079   5.653136   39402.90   26.89235
  394.2880   298.9550   1128.766   2703.111   5.652946   39402.71   26.89235
  395.7970   298.9550   1128.767   2703.105   5.653390   39402.46   26.89210
  397.2950   298.9550   1128.770   2703.073   5.654657   39403.28   26.89298
  398.7960   298.9550   1128.767   2703.079   5.654529   39403.41   26.89298
  400.2950   298.9560   1128.768   2703.117   5.654276   39403.03   26.89235
  401.7960   298.9550   1128.766   2703.098   5.653073   39403.28   26.89260
  403.2940   298.9540   1128.769   2703.117   5.653580   39402.14   26.89241
  404.7960   298.9540   1128.767   2703.092   5.653453   39402.21   26.89273
  406.2960   298.9530   1128.770   2703.098   5.653453   39402.02   26.89241
  407.7960   298.9540   1128.767   2703.092   5.653707   39402.71   26.89298
  409.2960   298.9540   1128.769   2703.111   5.652567   39403.34   26.89191
  410.7880   298.9550   1128.764   2703.060   5.652630   39403.53   26.89216
  412.2960   298.9540   1128.765   2703.060   5.652503   39403.09   26.89330
  413.7960   298.9530   1128.767   2703.060   5.653137   39403.53   26.89298
  415.5060   298.9550   1128.766   2703.086   5.652883   39403.41   26.89235
  416.7900   298.9540   1128.766   2703.111   5.653009   39404.16   26.89248
  418.2880   298.9540   1128.768   2703.098   5.653136   39403.60   26.89235
  419.7870   298.9520   1128.765   2703.117   5.653833   39404.16   26.89260
  421.2970   298.9510   1128.769   2703.086   5.653200   39403.53   26.89279
  422.7940   298.9530   1128.767   2703.086   5.653579   39404.16   26.89229
  424.2940   298.9520   1128.766   2703.098   5.654783   39404.42   26.89241
  425.7940   298.9520   1128.764   2703.105   5.653643   39404.92   26.89273
  427.2880   298.9540   1128.764   2703.098   5.653833   39404.48   26.89203
  428.7870   298.9530   1128.765   2703.067   5.653579   39404.16   26.89260
  430.2950   298.9520   1128.762   2703.086   5.653200   39405.62   26.89203
  431.7940   298.9540   1128.764   2703.098   5.653199   39405.68   26.89248
  433.3580   298.9540   1128.764   2703.092   5.653770   39404.23   26.89241
  434.7970   298.9520   1128.763   2703.092   5.653326   39404.10   26.89248
  436.2930   298.9530   1128.764   2703.092   5.653136   39405.68   26.89203
  437.7970   298.9530   1128.762   2703.073   5.653390   39404.80   26.89235
  439.2960   298.9530   1128.762   2703.092   5.653073   39404.67   26.89254
  441.1630   298.9520   1128.762   2703.067   5.653136   39406.63   26.89216
  442.4290   298.9530   1128.762   2703.098   5.653769   39407.13   26.89273
  443.8380   298.9520   1128.762   2703.073   5.653263   39407.13   26.89184
  445.4050   298.9510   1128.763   2703.092   5.653200   39407.20   26.89273
  446.8710   298.9520   1128.762   2703.086   5.652883   39407.45   26.89248
  448.3440   298.9510   1128.762   2703.073   5.653453   39407.77   26.89235
  449.8540   298.9530   1128.761   2703.092   5.653200   39407.64   26.89286
  451.3150   298.9510   1128.762   2703.086   5.653833   39408.02   26.89165
  452.7930   298.9540   1128.762   2703.086   5.653200   39407.95   26.89241
  454.2920   298.9510   1128.759   2703.098   5.653010   39406.88   26.89222
  455.7940   298.9500   1128.761   2703.079   5.653959   39409.03   26.89298
  457.2930   298.9520   1128.761   2703.067   5.653263   39407.70   26.89203
  458.7930   298.9510   1128.760   2703.098   5.653073   39407.13   26.89279
  460.2930   298.9500   1128.762   2703.086   5.653706   39409.28   26.89229
  461.7930   298.9500   1128.761   2703.105   5.653516   39407.95   26.89235
  463.2930   298.9500   1128.757   2703.067   5.653073   39408.52   26.89286
  464.7930   298.9500   1128.759   2703.105   5.653326   39408.34   26.89324
  466.2860   298.9510   1128.760   2703.086   5.653327   39408.78   26.89210
  467.7940   298.9500   1128.760   2703.105   5.653770   39407.45   26.89178
  469.2930   298.9500   1128.759   2703.105   5.653643   39407.77   26.89235
  470.7930   298.9520   1128.760   2703.079   5.653580   39408.21   26.89216
  472.2930   298.9490   1128.759   2703.092   5.653137   39408.27   26.89241
  473.7910   298.9510   1128.755   2703.067   5.653390   39409.09   26.89248
  475.2860   298.9490   1128.758   2703.111   5.653833   39409.16   26.89260
  476.9810   298.9510   1128.758   2703.079   5.652820   39409.09   26.89349
  478.2930   298.9500   1128.758   2703.073   5.653263   39410.23   26.89248
  479.7940   298.9500   1128.757   2703.092   5.653516   39409.66   26.89273
  481.2920   298.9490   1128.757   2703.105   5.653327   39409.66   26.89279
