# Resistivity Experiment v3.0
# 
# Data Acquisition Unit: Agilent Model 34970A
# Start Time: 2:34:01.712 PM 5/24/2018 ; Start Temp: 229.2230 K
# Time (s)   Temp (K)         R1         R2         R3         R4         R5
  5417.863   355.8650   573.1403   2735.603   6.893984   4722.771   26.84865
  5446.103   356.3920   564.8649   2736.408   6.905323   4642.872   26.84890
  5472.692   356.9200   556.8652   2737.162   6.917230   4567.497   26.84744
  5499.808   357.4330   549.0222   2737.979   6.928503   4493.319   26.84637
  5527.007   357.9300   541.2842   2738.765   6.939018   4419.630   26.84580
  5553.190   358.4470   534.0103   2739.570   6.950736   4350.800   26.84497
  5581.259   358.9760   525.9942   2740.400   6.960869   4279.677   26.84466
  5610.213   359.5030   518.3527   2741.261   6.973220   4206.564   26.84434
  5637.450   360.0210   510.6776   2742.123   6.985380   4138.793   26.84371
  5664.586   360.5160   503.4721   2742.953   6.995895   4073.771   26.84295
  5692.031   361.0580   496.4905   2743.783   7.007422   4008.927   26.84187
  5721.331   361.5710   489.0677   2744.670   7.019077   3942.195   26.84206
  5749.044   362.0890   481.8204   2745.551   7.029780   3879.828   26.84035
  5775.464   362.6000   475.1544   2746.425   7.040802   3819.825   26.83978
  5803.834   363.1180   468.3306   2747.293   7.052138   3758.960   26.83889
  5831.343   363.6240   461.4289   2748.187   7.063602   3702.023   26.83858
  5858.505   364.1080   455.2053   2749.042   7.074624   3646.360   26.83839
  5886.534   364.6100   448.8252   2749.967   7.085391   3590.248   26.83737
  5913.746   365.1050   442.2372   2750.854   7.096728   3534.451   26.83725
  5940.705   365.6040   436.5202   2751.735   7.107559   3481.842   26.83535
  5968.444   366.1190   430.0913   2752.660   7.117819   3430.380   26.83503
  5997.827   366.6300   423.8126   2753.636   7.129221   3375.351   26.83421
  6026.529   367.1720   417.7463   2754.631   7.140875   3323.122   26.83332
  6057.303   367.6920   411.1900   2755.663   7.152845   3269.290   26.83256
  6086.000   368.2010   405.2111   2756.664   7.163866   3217.676   26.83218
  6114.354   368.7130   399.3978   2757.646   7.175584   3169.660   26.83085
  6143.584   369.2250   393.7162   2758.635   7.186288   3121.164   26.83060
  6172.872   369.7620   388.0505   2759.668   7.196991   3073.015   26.83015
  6201.546   370.2710   382.1965   2760.681   7.208772   3026.533   26.82851
  6231.508   370.8010   376.6741   2761.746   7.219730   2979.348   26.82889
  6262.519   371.3150   370.7954   2762.880   7.231764   2931.314   26.82743
  6290.576   371.8220   365.5861   2763.900   7.242784   2889.090   26.82667
  6318.816   372.3320   360.4136   2764.933   7.253235   2846.897   26.82642
  6348.084   372.8380   355.2347   2766.048   7.264446   2803.311   26.82464
  6376.900   373.3550   350.0787   2767.100   7.275847   2761.733   26.82464
  6407.076   373.8690   345.0272   2768.228   7.288007   2719.471   26.82293
  6435.386   374.3590   340.1108   2769.318   7.299092   2680.510   26.82401
  6464.567   374.8620   335.3763   2770.420   7.309416   2640.947   26.82186
  6492.511   375.3490   330.5777   2771.485   7.320437   2604.305   26.82027
  6521.229   375.8590   326.0752   2772.632   7.331901   2565.820   26.82116
  6550.377   376.3750   321.2355   2773.740   7.342288   2528.753   26.81989
  6580.587   376.8870   316.5808   2774.938   7.354322   2490.331   26.81888
  6610.908   377.4100   312.1601   2776.135   7.364963   2454.094   26.81844
  6641.447   377.9000   307.7001   2777.346   7.376427   2417.662   26.81844
  6668.813   378.3950   303.3941   2778.429   7.386434   2385.594   26.81628
  6699.027   378.9140   299.2269   2779.639   7.397962   2350.518   26.81590
  6729.723   379.4230   294.6908   2780.894   7.409299   2315.358   26.81495
  6759.344   379.9260   290.5990   2782.123   7.420890   2282.626   26.81407
  6790.289   380.4480   286.1815   2783.416   7.431594   2248.797   26.81311
  6820.942   380.9610   282.4155   2784.670   7.442678   2215.995   26.81229
  6850.981   381.4820   278.2762   2785.937   7.454713   2183.927   26.81153
  6882.356   381.9870   274.2789   2787.281   7.466556   2152.152   26.81052
  6912.094   382.4900   270.3393   2788.542   7.476057   2121.948   26.81020
  6941.956   383.0160   266.7071   2789.796   7.487458   2092.871   26.80963
  6974.066   383.5390   262.6724   2791.196   7.499619   2061.957   26.80900
