# Resistivity Experiment v3.0
# 
# Data Acquisition Unit: Agilent Model 34970A
# Start Time: 1:50:47.002 PM 5/24/2018 ; Start Temp: 298.9410 K
# Time (s)   Temp (K)         R1         R2         R3         R4         R5
  468.1780   287.3230   1071.106   2708.617   5.406057   66128.47   26.89216
  469.6790   287.2420   1070.787   2708.592   5.403523   66485.45   26.89248
  471.1780   287.0230   1068.839   2708.529   5.400673   66956.90   26.89216
  472.6810   286.9320   1067.747   2708.699   5.397696   67200.52   26.89216
  474.1710   286.8150   1069.321   2708.833   5.394339   67538.67   26.89260
  475.7070   286.8100   1069.201   2708.871   5.393136   67815.65   26.89222
  477.1810   286.7180   1068.318   2708.820   5.390856   68094.91   26.89222
  478.6790   286.5460   1067.672   2708.858   5.388005   68388.07   26.89254
  480.1780   286.5770   1066.682   2708.909   5.385789   68561.37   26.89254
  481.6780   286.3640   1065.344   2709.010   5.384649   68929.66   26.89267
  483.1780   286.2780   1064.219   2709.054   5.382305   69202.28   26.89178
  484.6770   286.1410   1064.822   2709.156   5.380152   69537.46   26.89260
  486.1700   285.8780   1064.476   2709.162   5.379771   70137.99   26.89241
  487.6720   285.7360   1060.957   2709.308   5.374514   70542.35   26.89222
  489.1790   285.8220   1062.641   2709.358   5.371221   70888.96   26.89241
  490.6800   285.6990   1062.501   2709.422   5.370017   71181.42   26.89178
  492.1780   285.5510   1060.644   2709.472   5.368117   71644.04   26.89229
  493.6780   285.5270   1061.458   2709.587   5.366027   72066.78   26.89172
  495.2230   285.3070   1060.976   2709.612   5.362987   72727.34   26.89229
  496.6810   285.3050   1060.831   2709.713   5.361467   72766.76   26.89172
  498.2410   285.1450   1059.488   2709.745   5.358300   73173.39   26.89229
  499.7120   285.1080   1058.657   2709.834   5.357034   73600.18   26.89165
  501.2220   284.9890   1058.295   2709.853   5.354183   73869.08   26.89172
  502.6810   284.9320   1057.584   2710.011   5.351713   74397.84   26.89140
  504.1850   284.3610   1057.112   2710.049   5.349496   75668.09   26.89203
  505.6780   284.4810   1055.717   2710.170   5.345632   76409.45   26.89184
  507.1770   284.4730   1054.919   2710.290   5.342529   76321.06   26.89216
  508.6790   284.4440   1052.016   2710.423   5.339995   76597.10   26.89210
  510.1770   284.3030   1053.816   2710.524   5.338539   76593.19   26.89216
  511.6730   284.1810   1054.268   2710.537   5.335118   76753.16   26.89254
  513.1770   284.1120   1052.300   2710.531   5.334675   76969.30   26.89134
  514.6790   284.0200   1051.745   2710.664   5.333218   77526.87   26.89191
  516.1770   283.9320   1050.007   2710.778   5.330115   77654.24   26.89115
  517.6770   283.8660   1051.683   2710.847   5.328848   78034.47   26.89165
  519.1770   283.8200   1051.230   2710.860   5.326568   78250.80   26.89121
  520.6770   283.7450   1051.243   2710.905   5.324794   78435.16   26.89222
  522.5960   283.6690   1050.716   2710.949   5.322388   78771.03   26.89115
  523.6770   283.5420   1050.055   2710.968   5.322261   79055.41   26.89102
  525.1770   283.4010   1049.443   2711.006   5.320171   79401.01   26.89127
  526.6770   283.3050   1049.128   2711.120   5.317194   80109.33   26.89184
  528.1770   283.0700   1048.262   2711.196   5.315294   81106.89   26.89184
  529.6790   283.0160   1046.818   2711.266   5.312127   81364.41   26.89191
  531.1700   282.8170   1046.807   2711.411   5.309086   81557.05   26.89089
  532.6770   282.8790   1046.359   2711.399   5.305920   81752.53   26.89146
  534.1770   282.4350   1045.206   2711.633   5.305350   82844.17   26.89153
  535.6780   282.4440   1044.396   2711.722   5.300726   83296.48   26.89096
  537.1680   282.5360   1044.151   2711.728   5.298003   83474.47   26.89146
  538.6710   282.4030   1044.403   2711.830   5.295659   83550.41   26.89134
  540.1790   282.4610   1043.304   2711.848   5.295596   83704.70   26.89121
  541.6880   282.3220   1042.583   2711.912   5.292619   83838.83   26.89070
  543.3360   282.2810   1042.874   2711.963   5.291669   84050.23   26.89032
  544.6770   282.2580   1042.699   2712.032   5.290276   84270.86   26.89083
  546.1750   282.1530   1042.217   2712.096   5.288945   84520.30   26.89172
  547.6700   282.0820   1040.299   2712.026   5.288818   84836.64   26.89153
  549.1770   281.9930   1040.647   2712.343   5.287552   85266.09   26.89045
  550.6700   281.9140   1039.941   2712.368   5.286476   85808.43   26.89121
  552.1780   281.6120   1039.842   2712.431   5.283562   86157.32   26.89134
  553.6780   280.6160   1038.685   2712.501   5.280458   88314.12   26.89051
  555.1760   281.4360   1036.312   2712.596   5.274631   88250.69   26.89058
  556.6700   281.3540   1035.607   2712.875   5.273745   88789.05   26.89051
  558.1810   281.2550   1036.134   2712.983   5.272288   88779.64   26.89032
  559.6760   281.1180   1035.632   2712.495   5.270008   88984.53   26.89089
  561.1760   281.0880   1032.411   2714.161   5.266461   89037.54   26.89039
  562.6760   281.0500   1033.662   2714.098   5.265257   89145.90   26.89070
